time,name,count,ratio,rank_demand,flow_in_net_country_norm,rank_supply,industry_mismatch_stop10,industry_demand_lack_stop10,industry_supply_lack_stop10
2019Q4,七台河市,49172,0.645954573519173,1.0,0.0044984834795565,1.0,0.0,0.0,0.0
2019Q4,七台河市,7296,0.09584488262417404,3.0,-0.0125280174058256,3.0,0.0,0.0,0.0
2019Q4,七台河市,1340,0.017603089736347752,4.0,0.0027834788652101,2.0,2.0,2.0,0.0
2019Q4,七台河市,264,0.0034680714107431392,5.0,-0.0546602862077423,5.0,0.0,0.0,0.0
2019Q4,七台河市,53,0.0006962416089749485,6.0,-0.0702332750314786,6.0,0.0,0.0,0.0
2019Q4,七台河市,40,0.0005254653652641121,7.0,-0.0909143716216548,7.0,0.0,0.0,0.0
2019Q4,七台河市,17,0.00022332278023724761,8.0,-0.033059914681352,4.0,4.0,4.0,0.0
2019Q4,三亚市,4689,0.46083538083538084,1.0,0.1089179825516588,8.0,7.0,0.0,7.0
2019Q4,三亚市,432,0.04245700245700246,3.0,0.2159830131943524,4.0,1.0,0.0,1.0
2019Q4,三亚市,227,0.02230958230958231,4.0,0.3324444506434785,1.0,3.0,3.0,0.0
2019Q4,三亚市,190,0.018673218673218674,5.0,0.0281491643261919,9.0,4.0,0.0,4.0
2019Q4,三亚市,181,0.01778869778869779,6.0,0.183150835005608,5.0,1.0,1.0,0.0
2019Q4,三亚市,101,0.009926289926289926,7.0,0.1162881590861611,7.0,0.0,0.0,0.0
2019Q4,三亚市,36,0.0035380835380835383,8.0,0.2753407153011843,2.0,6.0,6.0,0.0
2019Q4,三亚市,35,0.0034398034398034397,9.0,0.2586335420769104,3.0,6.0,6.0,0.0
2019Q4,三亚市,29,0.0028501228501228502,10.0,0.1720635026331441,6.0,4.0,4.0,0.0
2019Q4,三明市,74112,0.6880762053310309,1.0,0.0096804033991948,3.0,2.0,0.0,2.0
2019Q4,三明市,9548,0.08864625982972639,3.0,-0.0172013542566002,7.0,4.0,0.0,4.0
2019Q4,三明市,1878,0.01743586886889675,4.0,0.0146264848227008,1.0,3.0,3.0,0.0
2019Q4,三明市,204,0.0018939921455031613,5.0,0.0123515890263543,2.0,3.0,3.0,0.0
2019Q4,三明市,140,0.0012997985312276597,6.0,-0.0334978356135238,10.0,4.0,0.0,4.0
2019Q4,三明市,113,0.0010491231002051826,7.5,-0.0294084689930644,8.0,0.5,0.0,0.5
2019Q4,三明市,113,0.0010491231002051826,7.5,-0.0334593545286714,9.0,1.5,0.0,1.5
2019Q4,三明市,30,0.00027852825669164136,11.0,-0.0033561970754944,5.0,6.0,6.0,0.0
2019Q4,三明市,16,0.0001485484035688754,12.0,0.0088605946727474,4.0,8.0,8.0,0.0
2019Q4,三明市,13,0.00012069557789971126,13.0,-0.0034428362569768,6.0,7.0,7.0,0.0
2019Q4,三门峡市,73553,0.7124950355022135,1.0,-0.0143440632381917,3.0,2.0,0.0,2.0
2019Q4,三门峡市,8000,0.07749459959509072,3.0,-0.0678589130253655,7.0,4.0,0.0,4.0
2019Q4,三门峡市,1924,0.018637451202619316,4.0,-0.0357567543650798,4.0,0.0,0.0,0.0
2019Q4,三门峡市,249,0.0024120194123971985,5.0,-0.0467446205277771,5.0,0.0,0.0,0.0
2019Q4,三门峡市,26,0.0002518574486840448,6.0,-0.1463832145358137,9.0,3.0,0.0,3.0
2019Q4,三门峡市,16,0.00015498919919018143,7.0,-0.1074563684864884,8.0,1.0,0.0,1.0
2019Q4,三门峡市,14,0.00013561554929140875,8.0,-0.0619069174841631,6.0,2.0,2.0,0.0
2019Q4,三门峡市,11,0.00010655507444324974,9.5,-0.0062888752553544,2.0,7.5,7.5,0.0
